objectid,name,problems,district,group_d,status_num,status_detail,detail,remark,สพน,สคน,กรบ,กรท,เขต,x,y
1,ถนน สนามไชย จากซอยเศรษฐการ ถึงถนนท้ายวัง,น้ำฝน สนน.,พระนคร,กรุงเทพกลาง,3,อยู่ระหว่างดำเนินการแก้ไข,,,,1.โครงการปรับปรุงสถานีสูบน้ำปากคลองตลาด #ของบ,,1.ก่อสร้างบ่อสูบน้ำถนนมหาราช บริเวณซอยท่าข้าม ตอนลงแม่น้ำเจ้าพระยา #ของบ,,100.4942856,13.74772167
2,ถนนรอบสนามหลวง,น้ำฝน สนน.,พระนคร,กรุงเทพกลาง,5,แก้ไขแล้วเสร็จ,,,,1.โครงการปรับปรุงสถานีสูบน้ำปากคลองตลาด #ของบ,,,,100.4940338,13.75489044
3,ถนนราชวิถี บริเวณหน้าราชภัฏสวนดุสิตและเชิงสะพานกรุงธน,น้ำฝน สนน.,ดุสิต,กรุงเทพกลาง,4,แก้ไขแล้วเสร็จบางส่วน,,,,,,,,100.5056,13.77958393
4,ถนนสุรวงศ์ (บริเวณใต้ทางด่วน),น้ำฝน สนน.,บางรัก,กรุงเทพใต้,4,แก้ไขแล้วเสร็จบางส่วน,,,,,,"1.ก่อสร้างรางระบายน้ำ ค.ส.ล. พร้อมท่อลอดระบายน้ำ ค.ส.ล. ถนนสุรวงศ์ช่วงใต้ทางด่วนถึงถนนเจริญกรุง #ก่อสร้าง,
2.ก่อสร้างบ่อสูบน้ำเจริญกรุง 32 (ไปรษณีย์กลาง) ตอนลงแม่น้ำเจ้าพระยา #ของบ",,100.5174561,13.72559261
5,ถนนแจ้งวัฒนะ บริเวณหน้ามหาวิทยาลัยราชภัฎพระนคร,น้ำฝน สนน.,บางเขน,กรุงเทพเหนือ,5,แก้ไขแล้วเสร็จ,,,,,โครงการก่อสร้างเขื่อน ค.ส.ล. และประตูระบายน้ำ คลองลาดพร้าว คลองบางบัว คลองถนน คลองสอง และคลองบางซื่อ จากบริเวณเขื่อนเดิมอุโมงค์ยักษ์พระรามเก้า-รามคำแหง ไปทางประตูระบายน้ำคลองสองสายใต้ (ครั้งที่ 2) #ของบ,,,100.5960846,13.8762598
6,วงเวียนบางเขน,น้ำฝน สนน.,บางเขน,กรุงเทพเหนือ,4,แก้ไขแล้วเสร็จบางส่วน,,,"1.โครงการก่อสร้างอุโมงค์ระบายน้้าคลองเปรมประชากรจากคลองบางบัวลงสู่ แม่น้้าเจ้าพระยา #ก่อสร้าง,
2.โครงการจ้างที่ปรึกษาควบคุมการก่อสร้างโครงการก่อสร้างอุโมงค์ระบายน้้า คลองเปรมประชากรจากคลองบางบัวลงสู่แม่น้้าเจ้าพระยา #ก่อสร้าง,
3. งานก่อสร้างแก้มลิงวงเวียนบางเขน พื้นที่เขตบางเขน #แล้วเสร็จ",,โครงการก่อสร้างเขื่อน ค.ส.ล. และประตูระบายน้ำ คลองลาดพร้าว คลองบางบัว คลองถนน คลองสอง และคลองบางซื่อ จากบริเวณเขื่อนเดิมอุโมงค์ยักษ์พระรามเก้า-รามคำแหง ไปทางประตูระบายน้ำคลองสองสายใต้ (ครั้งที่ 2) #ของบ,,,100.5966187,13.87635708
7,ถนนรามอินทรา ช่วงหน้าปากซอยรามอินทรา 5,น้ำฝน สนน.,บางเขน,กรุงเทพเหนือ,5,แก้ไขแล้วเสร็จ,,,"1. โครงการก่อสร้างระบบระบายน้ำคลองรางอ้อรางแก้ว ช่วงจากถนนพหลโยธินถึงถนนรามอินทรา #ก่อสร้าง
2.โครงการก่อสร้างระบบระบายน้้าคลองรางอ้อรางแก้ว ช่วงถนนพหลโยธินถึง ถนนรามอินทรา #ก่อสร้าง",,โครงการก่อสร้างเขื่อน ค.ส.ล. และประตูระบายน้ำ คลองลาดพร้าว คลองบางบัว คลองถนน คลองสอง และคลองบางซื่อ จากบริเวณเขื่อนเดิมอุโมงค์ยักษ์พระรามเก้า-รามคำแหง ไปทางประตูระบายน้ำคลองสองสายใต้ (ครั้งที่ 2) #ของบ,,,100.6042175,13.87021446
8,ถนนพหลโยธินหน้ากรมทหารราบที่ 11,น้ำฝน สนน.,บางเขน,กรุงเทพเหนือ,5,แก้ไขแล้วเสร็จ,,,,,โครงการก่อสร้างเขื่อน ค.ส.ล. และประตูระบายน้ำ คลองลาดพร้าว คลองบางบัว คลองถนน คลองสอง และคลองบางซื่อ จากบริเวณเขื่อนเดิมอุโมงค์ยักษ์พระรามเก้า-รามคำแหง ไปทางประตูระบายน้ำคลองสองสายใต้ (ครั้งที่ 2) #ของบ,,,100.5914993,13.86665916
9,ถนนพหลโยธิน ช่วงหน้าราบ 11 ประตู 2,น้ำฝน สนน.,บางเขน,กรุงเทพเหนือ,5,แก้ไขแล้วเสร็จ,,,,,โครงการก่อสร้างเขื่อน ค.ส.ล. และประตูระบายน้ำ คลองลาดพร้าว คลองบางบัว คลองถนน คลองสอง และคลองบางซื่อ จากบริเวณเขื่อนเดิมอุโมงค์ยักษ์พระรามเก้า-รามคำแหง ไปทางประตูระบายน้ำคลองสองสายใต้ (ครั้งที่ 2) #ของบ,,,100.5892715,13.86284065
10,ถนนเทพรักษ์ จากหน้าบิ๊กซี (สาขาดอนเมือง) ถึงหน้าคอนโด Episode,น้ำฝน สนน.,บางเขน,กรุงเทพเหนือ,5,แก้ไขแล้วเสร็จ,,,,,"1. โครงการก่อสร้างเขื่อน ค.ส.ล. และประตูระบายน้ำ คลองลาดพร้าว คลองบางบัว คลองถนน คลองสอง และคลองบางซื่อ จากบริเวณเขื่อนเดิมอุโมงค์ยักษ์พระรามเก้า-รามคำแหง ไปทางประตูระบายน้ำคลองสองสายใต้ (ครั้งที่ 2) #ของบ
2. ก่อสร้างทำนบกั้นน้า แนวคลองลาดพร้าว#ก่อสร้าง",1.ก่อสร้างบ่อพักพร้อมประตูปิดกั้นน้ำในพื้นที่ เขตสายไหม เขตบางเขน และเขตบางขุนเทียน #ก่อสร้าง,,100.6072388,13.88994503
